"Month,Traffic,Transactions,Conversion_Rate,Avg_Basket_Value,Sales_Revenue,Total_Customers,Returning_Customers,Retention_Rate,Electronics_Sales,Clothing_Sales,Grocery_Sales,Category_Total_Check"
"2022-01,10000,2100,0.2100,25,52500,2100,750,0.3571,21000,15750,15750,52500"
"2022-02,9500,1900,0.2000,26,49400,1900,700,0.3684,20000,14400,15000,49400"
"2022-03,10200,2150,0.2108,25,53750,2150,820,0.3814,22000,16000,15750,53750"
"2022-04,10800,2250,0.2083,26,58500,2250,900,0.4000,24000,18000,16500,58500"
"2022-05,11000,2300,0.2091,26,59800,2300,950,0.4130,25000,18500,16300,59800"
"2022-06,11500,2400,0.2087,27,64800,2400,1050,0.4375,28000,20000,16800,64800"
"2022-07,11800,2450,0.2076,27,66150,2450,1120,0.4571,29000,20500,16650,66150"
"2022-08,12000,2500,0.2083,27,67500,2500,1200,0.4800,30000,21000,16500,67500"
"2022-09,12200,2550,0.2090,28,71400,2550,1300,0.5098,32000,22500,16900,71400"
"2022-10,12500,2600,0.2080,28,72800,2600,1400,0.5385,33000,23000,16800,72800"
"2022-11,14500,3100,0.2138,29,89900,3100,1750,0.5645,42000,30000,17900,89900"
"2022-12,16000,3500,0.2188,30,105000,3500,2100,0.6000,52000,33000,20000,105000"

"2023-01,13000,2700,0.2077,29,78300,2700,1650,0.6111,36000,24000,18300,78300"
"2023-02,12000,2400,0.2000,30,72000,2400,1500,0.6250,34000,22000,16000,72000"
"2023-03,13500,2850,0.2111,29,82650,2850,1800,0.6316,38000,26000,18650,82650"
"2023-04,14000,2950,0.2107,30,88500,2950,1950,0.6610,42000,28000,18500,88500"
"2023-05,14500,3050,0.2103,30,91500,3050,2100,0.6885,45000,28500,18000,91500"
"2023-06,15000,3150,0.2100,31,97650,3150,2250,0.7143,49000,29500,19150,97650"
"2023-07,15200,3200,0.2105,31,99200,3200,2400,0.7500,50000,30000,19200,99200"

"2023-08,13500,3000,0.2222,33,99000,3000,2400,0.8000,52000,28000,19000,99000"

"2023-09,15500,3250,0.2097,31,100750,3250,2600,0.8000,53000,29500,18250,100750"
"2023-10,15800,3300,0.2090,32,105600,3300,2750,0.8333,57000,31000,17600,105600"
"2023-11,18000,3800,0.2111,33,125400,3800,3200,0.8421,70000,36000,19400,125400"
"2023-12,20000,4300,0.2150,34,146200,4300,3700,0.8605,85000,40000,21200,146200"

"2024-01,16500,3500,0.2121,33,115500,3500,3100,0.8857,64000,32000,19500,115500"
"2024-02,15000,3100,0.2067,34,105400,3100,2800,0.9032,59000,29000,17400,105400"
"2024-03,17000,3600,0.2118,33,118800,3600,3300,0.9167,68000,33000,17800,118800"
"2024-04,17500,3700,0.2114,34,125800,3700,3500,0.9459,73000,34000,18800,125800"
"2024-05,18000,3800,0.2111,34,129200,3800,3650,0.9605,76000,35000,18200,129200"
"2024-06,18500,3900,0.2108,35,136500,3900,3800,0.9744,82000,36000,18500,136500"
"2024-07,18800,3950,0.2101,35,138250,3950,3900,0.9873,84000,36000,18250,138250"
"2024-08,19000,4000,0.2105,35,140000,4000,3950,0.9875,86000,36000,18000,140000"
"2024-09,19500,4100,0.2103,36,147600,4100,4050,0.9878,92000,38000,17600,147600"
"2024-10,20000,4200,0.2100,36,151200,4200,4150,0.9881,95000,38000,18200,151200"
"2024-11,23000,4900,0.2130,37,181300,4900,4800,0.9796,120000,42000,19300,181300"
"2024-12,25000,5400,0.2160,38,205200,5400,5300,0.9815,140000,45000,20200,205200"
